julianbuu,A,2014-08-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, condition (W&D), errorMargin
0,1.05002188683,350.0,150.0,378,204,0,0,133,400,0
1,1.75065994263,324.933353287,548.422940263,344,516,0,0,133,400,0
2,2.29871797562,399.737977433,156.283367774,402,180,0,0,133,400,0
3,2.82894897461,276.375089463,535.955297178,289,559,0,0,133,400,0
4,3.41085982323,446.35073482,174.738663991,438,210,0,0,133,400,0
5,3.95685195923,232.442949542,511.803398875,245,546,0,0,133,400,0
6,5.21643185616,486.909421186,204.206274516,470,225,0,0,133,400,0
7,6.39336585999,195.897351445,477.48479795,227,465,0,0,133,400,0
8,7.58126783371,518.8655851,242.834641004,581,211,1,0,133,400,3.81496890196
9,8.5717689991,169.034589507,435.155858313,158,457,0,0,133,400,0
10,9.60508084297,540.211303259,288.196601125,554,246,0,0,133,400,0
11,10.2184770107,153.542549854,387.476262917,159,409,0,0,133,400,0
12,10.8880908489,549.605345686,337.441896094,511,324,0,0,133,400,0
13,11.4801688194,150.394654314,337.441896094,184,338,0,0,133,400,0
14,12.1270349026,546.457450146,387.476262917,495,362,0,0,133,400,0
15,12.6566119194,159.788696741,288.196601125,196,289,0,0,133,400,0
16,13.2685718536,530.965410493,435.155858313,508,396,0,0,133,400,0
17,13.7458078861,181.1344149,242.834641004,196,248,0,0,133,400,0
18,14.306278944,504.102648555,477.48479795,507,456,0,0,133,400,0
19,16.0144879818,213.090578814,204.206274516,244,263,1,0,133,400,0.423598776026
20,17.0034480095,467.557050458,511.803398875,465,463,0,0,133,400,0
21,17.8064548969,253.64926518,174.738663991,281,205,0,0,133,400,0
22,18.5813279152,423.624910537,535.955297178,456,543,0,0,133,400,0
23,19.3543088436,300.262022567,156.283367774,332,179,0,0,133,400,0
24,20.2456169128,375.066646713,548.422940263,384,495,0,0,133,400,0
25,21.0347869396,350.0,150.0,354,158,0,0,133,400,0
