kola,B,2014-08-04

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, condition (W&D), errorMargin
0,0.935830831528,350.0,150.0,358,165,0,0,58,400,0
1,1.58342385292,324.933353287,548.422940263,342,538,0,0,58,400,0
2,2.41798400879,399.737977433,156.283367774,401,180,0,0,58,400,0
3,3.31556081772,276.375089463,535.955297178,286,522,0,0,58,400,0
4,4.1389029026,446.35073482,174.738663991,452,177,0,0,58,400,0
5,5.31257796288,232.442949542,511.803398875,248,505,0,0,58,400,0
6,6.20657801628,486.909421186,204.206274516,489,213,0,0,58,400,0
7,7.11967587471,195.897351445,477.48479795,185,485,0,0,58,400,0
8,7.86647295952,518.8655851,242.834641004,528,249,0,0,58,400,0
9,8.66364693642,169.034589507,435.155858313,147,437,0,0,58,400,0
10,9.62371587753,540.211303259,288.196601125,549,291,0,0,58,400,0
11,10.7769699097,153.542549854,387.476262917,165,383,0,0,58,400,0
12,11.5133039951,549.605345686,337.441896094,557,332,0,0,58,400,0
13,12.2679898739,150.394654314,337.441896094,161,331,0,0,58,400,0
14,13.1235699654,546.457450146,387.476262917,535,384,0,0,58,400,0
15,13.9159088135,159.788696741,288.196601125,169,291,0,0,58,400,0
16,14.7292039394,530.965410493,435.155858313,539,425,0,0,58,400,0
17,15.5366828442,181.1344149,242.834641004,179,240,0,0,58,400,0
18,16.3375079632,504.102648555,477.48479795,506,486,0,0,58,400,0
19,17.0067918301,213.090578814,204.206274516,229,210,0,0,58,400,0
20,17.766548872,467.557050458,511.803398875,464,499,0,0,58,400,0
21,18.4141168594,253.64926518,174.738663991,265,181,0,0,58,400,0
22,19.3247098923,423.624910537,535.955297178,436,543,0,0,58,400,0
23,19.9519379139,300.262022567,156.283367774,307,145,0,0,58,400,0
24,20.7217469215,375.066646713,548.422940263,378,548,0,0,58,400,0
25,21.7796308994,350.0,150.0,356,151,0,0,58,400,0
